city	county	population	total_cases	two_week_cases	average_incidence_per100k	color	relative_change	total_tests	two_week_tests	two_week_positive_tests	percent_positive	percent_positive_change	testing_rate	date	start_date	end_date	new_tests_town	new_cases_town
BOSTON	Suffolk	692958	15001	440			Increase	181874	24898.0	538	0.02161		3593.0	2020-08-05	2020-07-19	2020-08-01	16278	334
BOSTON	Suffolk	692958	15307	582	6.0		Higher	198209	30166.0	689	0.02284	Higher	4353.22	2020-08-12	2020-07-26	2020-08-08	16335	306
BOSTON	Suffolk	692958	15640	627	6.4		Higher	220690	35705.0	744	0.02084	No Change	5152.55	2020-08-19	2020-08-02	2020-08-15	22481	333
BOSTON	Suffolk	692958	16002	691	7.1		Higher	248852	45494.0	826	0.01816	Lower	6565.19	2020-08-26	2020-08-09	2020-08-22	28162	362
BOSTON	Suffolk	692958	16396	716	7.4		Higher	289627	60883.0	882	0.01449	Lower	8785.96	2020-09-02	2020-08-16	2020-08-29	40775	394
BOSTON	Suffolk	692958	16568	725	7.5		Higher	355091	93910.0	887	0.00945	Lower	13552.05	2020-09-09	2020-08-23	2020-09-05	65464	172
BOSTON	Suffolk	692958	16957	750	7.7		Higher	410791	118323.0	887	0.0075	Lower	17075.06	2020-09-16	2020-08-30	2020-09-12	55700	389
BOSTON	Suffolk	692958	17348	773	7.9		Higher	527297	152051.0	915	0.00602	No Change	21942.31	2020-09-23	2020-09-06	2020-09-19	116506	391
BOSTON	Suffolk	692958	17798	825	8.5		Higher	672668	179475.0	999	0.00557	No Change	25899.84	2020-09-30	2020-09-13	2020-09-26	145371	450
BOSTON	Suffolk	692958	18339	972	10.0		Higher	763311	176376.0	1170	0.00663	Higher	25452.62	2020-10-07	2020-09-20	2020-10-03	90643	541
BOSTON	Suffolk	692958	18857	1081	11.1		Higher	839095	172584.0	1275	0.00739	No Change	24905.41	2020-10-14	2020-09-27	2020-10-10	75784	518
BOSTON	Suffolk	692958	19507	1166	12.0		Higher	933870	173409.0	1394	0.00804	No Change	25024.46	2020-10-22	2020-10-04	2020-10-17	94775	650
BOSTON	Suffolk	692958	20457	1536	15.8		Higher	1032439	178525.0	1808	0.01013	Higher	25762.74	2020-10-29	2020-10-11	2020-10-24	98569	950
BOSTON	Suffolk	692958	21379	1784	18.4		Higher	1131610	187615.0	2109	0.01124	Higher	27074.51	2020-11-06	2020-10-18	2020-10-31	99171	922
BOSTON	Suffolk	692958	22839	2239	23.1		Higher	1230454	199549.0	2599	0.01302	Higher	28796.69	2020-11-12	2020-10-25	2020-11-07	98844	1460
BOSTON	Suffolk	692958	24587	3058	31.5		Higher	1335650	205995.0	3476	0.01687	Higher	29726.91	2020-11-19	2020-11-01	2020-11-14	105196	1748
BOSTON	Suffolk	692958	26150	3285	33.9		Higher	1457563	219762.0	3814	0.01736	No Change	31713.61	2020-11-27	2020-11-08	2020-11-21	121913	1563
BOSTON	Suffolk	692958	27780	3075	31.7		Lower	1531908	192597.0	3605	0.01872	No Change	27793.46	2020-12-03	2020-11-15	2020-11-28	74345	1630
BOSTON	Suffolk	692958	30808	4468	46.06		Higher	1633574	177922.0	5024	0.02824	Higher	25675.73	2020-12-10	2020-11-22	2020-12-05	101666	3028
BOSTON	Suffolk	692958	33960	6001	61.9		Higher	1732219	199322.0	6650	0.03336	Higher	28763.94	2020-12-17	2020-11-29	2020-12-12	98645	3152
BOSTON	Suffolk	692958	36686	5732	59.1	Yellow	Lower	1821610	187195.0	6517	0.03481	Higher	27013.9	2020-12-24	2020-12-06	2020-12-19	89391	2726
BOSTON	Suffolk	692958	39454	5322	54.9	Red	Lower	1875138	147391.0	6159	0.04179	Higher	21269.83	2020-12-31	2020-12-13	2020-12-26	53528	2768
BOSTON	Suffolk	692958	42565	5567	57.4	Red	Higher	1931261	107702.0	6401	0.05943	Higher	15542.36	2021-01-07	2020-12-20	2021-01-02	56123	3111
BOSTON	Suffolk	692958	46455	7026	72.4	Red	Higher	2013633	132957.0	7863	0.05914	No Change	19186.88	2021-01-14	2020-12-27	2021-01-09	82372	3890
BOSTON	Suffolk	692958	49256	6954	71.7	Red	Lower	2105010	171060.0	7868	0.046	Lower	24685.48	2021-01-21	2021-01-03	2021-01-16	91377	2801
BOSTON	Suffolk	692958	51933	5548	57.2	Yellow	Lower	2222881	198195.0	6408	0.03233	Lower	28601.3	2021-01-28	2021-01-10	2021-01-23	117871	2677
BOSTON	Suffolk	692958	53889	4705	48.5	Yellow	Lower	2347377	233890.0	5449	0.0233	Lower	33752.41	2021-02-04	2021-01-17	2021-01-30	124496	1956
BOSTON	Suffolk	692958	55503	3767	38.8	Yellow	Lower	2464511	238658.0	4364	0.01829	Lower	34440.47	2021-02-11	2021-01-24	2021-02-06	117134	1614
BOSTON	Suffolk	692958	56751	2946	30.4	Yellow	Lower	2579507	234179.0	3391	0.01448	Lower	33794.11	2021-02-18	2021-01-31	2021-02-13	114996	1248
BOSTON	Suffolk	692958	57912	2386	24.6	Yellow	Lower	2695056	227969.0	2746	0.01205	Lower	32897.95	2021-02-25	2021-02-07	2021-02-20	115549	1161
BOSTON	Suffolk	692958	59048	2275	23.5	Yellow	Lower	2812459	226297.0	2584	0.01142	No Change	32656.67	2021-03-04	2021-02-14	2021-02-27	117403	1136
BOSTON	Suffolk	692958	60164	2354	24.3	Yellow	Higher	2925381	229432.0	2653	0.01156	No Change	33109.08	2021-03-11	2021-02-21	2021-03-06	112922	1116
BOSTON	Suffolk	692958	61224	2210	22.8	Yellow	Lower	3036404	224980.0	2506	0.01114	No Change	32466.61	2021-03-18	2021-02-28	2021-03-13	111023	1060
BOSTON	Suffolk	692958	62427	2197	22.6	Yellow	Lower	3145764	220390.0	2476	0.01123	No Change	31804.24	2021-03-25	2021-03-07	2021-03-20	109360	1203
BOSTON	Suffolk	692958	64123	2804	28.9	Yellow	Higher	3260602	219020.0	3127	0.01428	Higher	31606.53	2021-04-01	2021-03-14	2021-03-27	114838	1696
BOSTON	Suffolk	692958	65894	3344	34.5	Yellow	Higher	3372279	223236.0	3777	0.01692	Higher	32214.94	2021-04-08	2021-03-21	2021-04-03	111677	1771
BOSTON	Suffolk	692958	67229	3129	32.3	Yellow	Lower	3482361	220502.0	3558	0.01614	No Change	31820.39	2021-04-15	2021-03-28	2021-04-10	110082	1335
BOSTON	Suffolk	692958	68190	2468	25.4	Yellow	Lower	3577981	210357.0	2878	0.01368	Lower	30356.37	2021-04-22	2021-04-04	2021-04-17	95620	961
BOSTON	Suffolk	692958	68951	1789	18.4	Yellow	Lower	3674095	195256.0	2128	0.0109	Lower	28177.17	2021-04-29	2021-04-11	2021-04-24	96114	761
