FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
18134,Acceleration Academy,Acceleration Academy School District,In-person and virtual,"3100 Cottage Hil Rd ,Mobile AL 36606",2021-02-23,9,0,848.0,Mobile County
18123,Alabaster City,Alabaster City School System,"In-person, virtual and blended","1953 Municipal Way Suite 200 Alabaster, AL 35007",2021-02-23,9,        15,848.0,Shelby County
18133,Albertville City,Albertville City School District,In-person and virtual,"107 West Main Street Albertville, AL, 35950 - 0025",2021-02-23,9,0,848.0,Marshall County
18131,Alexander City,Alexander City City School District,In-person and virtual,"375 Lee Street Alexander City, AL, 35010 - 2708",2021-02-23,9,Less than 5,848.0,Tallapoosa County
18124,Andalusia City,Andalusia City School District,In-person and virtual,"1201 C. C. Baker Avenue Andalusia, AL, 36421 - 2101",2021-02-23,9,Less than 5,848.0,Covington County
18135,Anniston City,Anniston City School District,In-person and virtual,"4804 McClellan Boulevard Anniston, AL, 36206 - 0000",2021-02-23,9,Less than 5,848.0,Calhoun County
18132,Arab City,Arab City School District,"In-person, virtual and blended","750 Arabian Dr NE Arab, AL, 35016 - 1161",2021-02-23,9,Less than 5,848.0,Marshall County
18152,Athens City,Athens City School District,In-person and virtual,"455 US Highway 31 North Athens, AL, 35611 - 2653",2021-02-23,9,0,848.0,Limestone County
18136,Attalla City,Attalla City School District,"In-person, virtual and blended","101 Case Ave Attalla, AL, 35954 - 3404",2021-02-23,9,         5,848.0,Etowah County
18137,Auburn City,Auburn City School District,In-person and virtual,"855 E Samford Ave Auburn, AL, 36830 - 6146",2021-02-23,9,Less than 5,848.0,Lee County
18140,Autauga County,Autauga County School District,"In-person, virtual and blended","153 W 4th St Prattville, AL, 36067 - 3011",2021-02-23,9,        30,848.0,Autauga County
18139,Baldwin County,Baldwin County School District,In-person and virtual,"2600 North Hand Ave Bay Minette, AL, 36507 - 4180",2021-02-23,9,        60,848.0,Baldwin County
18138,Barbour County,Barbour County School District,"In-person, virtual and blended","168 Western Bypass Clayton, AL, 36016 - 0429",2021-02-23,9,Less than 5,848.0,Barbour County
18142,Bessemer City,Bessemer City School District,Virtual and blended,"1621 5th Ave N Bessemer, AL, 35020 - 0000",2021-02-22,9,Less than 5,848.0,Jefferson County
18141,Bibb County,Bibb County School District,In-person and virtual,"721 Walnut Street Centreville, AL, 35042 - 2277",2021-02-24,9,Less than 5,848.0,Bibb County
