week,new_cases_employee,new_cases_students,new_cases,date,new_cases_state,new_deaths_state,population_state
36,86.0,235.0,333.0,2020-09-20,5504,200,2959373
37,103.0,351.0,464.0,2020-09-27,5519,127,2959373
38,228.0,617.0,785.0,2020-10-04,5771,117,2959373
39,0.0,0.0,0.0,2020-10-11,5820,144,2959373
40,363.0,1104.0,1285.0,2020-10-18,6233,135,2959373
41,0.0,0.0,0.0,2020-10-25,7049,108,2959373
42,279.0,817.0,973.0,2020-11-01,6942,146,2959373
43,0.0,0.0,0.0,2020-11-08,8809,127,2959373
44,0.0,0.0,0.0,2020-11-15,11174,98,2959373
45,1434.0,3439.0,4891.0,2020-11-22,12133,174,2959373
46,389.0,947.0,1259.0,2020-11-29,11074,113,2959373
47,0.0,0.0,0.0,2020-12-06,14677,190,2959373
48,1241.0,3116.0,4408.0,2020-12-13,14778,285,2959373
49,682.0,1873.0,2519.0,2020-12-20,15948,292,2959373
50,0.0,0.0,0.0,2020-12-27,13227,245,2959373
51,0.0,0.0,0.0,2021-01-03,18598,267,2959373
52,0.0,0.0,0.0,2021-01-10,21601,294,2959373
53,0.0,0.0,0.0,2021-01-17,16078,268,2959373
54,3130.0,7722.0,11365.0,2021-01-24,12912,295,2959373
55,606.0,1872.0,2773.0,2021-01-31,11202,262,2959373
56,0.0,0.0,0.0,2021-02-07,11468,208,2959373
57,0.0,0.0,0.0,2021-02-14,6292,189,2959373
58,800.0,2305.0,3411.0,2021-02-21,2486,92,2959373
59,0.0,0.0,0.0,2021-02-28,6901,60,2959373
60,0.0,0.0,0.0,2021-03-07,2403,76,2959373
61,351.0,1332.0,1891.0,2021-03-14,2125,155,2959373
62,88.0,306.0,428.0,2021-03-21,1712,65,2959373
63,66.0,269.0,376.0,2021-03-28,1274,56,2959373
64,19.0,114.0,140.0,2021-04-04,1125,48,2959373
65,21.0,78.0,104.0,2021-04-11,1099,19,2959373
66,34.0,112.0,157.0,2021-04-18,1299,33,2959373
67,42.0,177.0,243.0,2021-04-22,257,12,2959373
