date,name,num_students,new_cases_students,total_cases_students,new_cases_employee,total_cases_employee
2020-08-29,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-09-05,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-09-12,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-09-19,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-09-26,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-10-03,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-10-10,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-10-17,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-10-24,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-10-31,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-11-07,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-11-14,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-11-21,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-11-28,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-12-05,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-12-12,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-12-19,Appoquinimink School District,,0.0,66.0,0.0,45.0
2020-12-26,Appoquinimink School District,,0.0,66.0,0.0,45.0
2021-01-02,Appoquinimink School District,0.0,0.0,66.0,0.0,45.0
2021-01-09,Appoquinimink School District,7197.0,0.0,66.0,0.0,45.0
2021-01-16,Appoquinimink School District,6114.0,0.0,66.0,0.0,45.0
2021-01-23,Appoquinimink School District,6487.0,0.0,66.0,0.0,45.0
2021-01-30,Appoquinimink School District,6487.0,0.0,66.0,0.0,45.0
2021-02-06,Appoquinimink School District,6494.0,0.0,66.0,0.0,45.0
2021-02-13,Appoquinimink School District,6514.0,0.0,66.0,0.0,45.0
2021-02-20,Appoquinimink School District,6515.0,0.0,66.0,0.0,45.0
2021-02-27,Appoquinimink School District,6547.0,0.0,66.0,0.0,45.0
2021-03-06,Appoquinimink School District,6696.0,0.0,66.0,0.0,45.0
2021-03-13,Appoquinimink School District,7114.0,1.0,85.0,1.0,50.0
2021-03-20,Appoquinimink School District,7294.0,1.0,85.0,1.0,50.0
2021-03-27,Appoquinimink School District,,1.0,91.0,1.0,53.0
2021-04-03,Appoquinimink School District,0.0,1.0,93.0,0.0,53.0
2021-04-10,Appoquinimink School District,7496,1.0,103.0,0.0,53.0
2020-08-29,Brandywine School District,,0.0,42.0,0.0,76.0
2020-09-05,Brandywine School District,,0.0,42.0,0.0,76.0
2020-09-12,Brandywine School District,,0.0,42.0,0.0,76.0
2020-09-19,Brandywine School District,,0.0,42.0,0.0,76.0
2020-09-26,Brandywine School District,,0.0,42.0,0.0,76.0
2020-10-03,Brandywine School District,,0.0,42.0,0.0,76.0
2020-10-10,Brandywine School District,,0.0,42.0,0.0,76.0
