setting,case_count,date,end_date
Beach,27.0,2020-08-30,2020-09-05
Restaurant,22.0,2020-08-30,2020-09-05
Religious service**,15.0,2020-08-30,2020-09-05
House party,13.0,2020-08-30,2020-09-05
Gym,10.0,2020-08-30,2020-09-05
Bar,8.0,2020-08-30,2020-09-05
Other large gathering,8.0,2020-08-30,2020-09-05
Dinner party,6.0,2020-08-30,2020-09-05
Recreational center,5.0,2020-08-30,2020-09-05
Pool,2.0,2020-08-30,2020-09-05
Outdoor event,2.0,2020-08-30,2020-09-05
Indoor play center,2.0,2020-08-30,2020-09-05
Pro or youth sporting event,2.0,2020-08-30,2020-09-05
Wedding,1.0,2020-08-30,2020-09-05
Amusement park,1.0,2020-08-30,2020-09-05
Nail or hair salon/spa,1.0,2020-08-30,2020-09-05
Other tourist attraction,1.0,2020-08-30,2020-09-05
Beach,29.0,2020-09-06,2020-09-12
Restaurant,21.0,2020-09-06,2020-09-12
House party,9.0,2020-09-06,2020-09-12
Other tourist attraction,9.0,2020-09-06,2020-09-12
Gym,8.0,2020-09-06,2020-09-12
Religious service**,8.0,2020-09-06,2020-09-12
Dinner party,7.0,2020-09-06,2020-09-12
Other large gathering,6.0,2020-09-06,2020-09-12
Outdoor event,4.0,2020-09-06,2020-09-12
Wedding,3.0,2020-09-06,2020-09-12
Recreational center,3.0,2020-09-06,2020-09-12
Bar,2.0,2020-09-06,2020-09-12
Resort,2.0,2020-09-06,2020-09-12
Amusement park,2.0,2020-09-06,2020-09-12
Nail or hair salon/spa,2.0,2020-09-06,2020-09-12
Pool,1.0,2020-09-06,2020-09-12
Restaurant,27.0,2020-09-13,2020-09-19
Beach,23.0,2020-09-13,2020-09-19
House party,10.0,2020-09-13,2020-09-19
Religious service**,10.0,2020-09-13,2020-09-19
Outdoor event,9.0,2020-09-13,2020-09-19
Other large gathering,9.0,2020-09-13,2020-09-19
Bar,8.0,2020-09-13,2020-09-19
Gym,7.0,2020-09-13,2020-09-19
Dinner party,7.0,2020-09-13,2020-09-19
Recreational center,5.0,2020-09-13,2020-09-19
Other tourist attraction,4.0,2020-09-13,2020-09-19
Wedding,3.0,2020-09-13,2020-09-19
Amusement park,3.0,2020-09-13,2020-09-19
Nail or hair salon/spa,3.0,2020-09-13,2020-09-19
Pro or youth sporting event,2.0,2020-09-13,2020-09-19
Resort,1.0,2020-09-13,2020-09-19
Restaurant,30.0,2020-09-20,2020-09-26
Beach,13.0,2020-09-20,2020-09-26
Bar,11.0,2020-09-20,2020-09-26
Gym,10.0,2020-09-20,2020-09-26
House party,10.0,2020-09-20,2020-09-26
Outdoor event,7.0,2020-09-20,2020-09-26
Recreational center,7.0,2020-09-20,2020-09-26
Other large gathering,7.0,2020-09-20,2020-09-26
Other tourist attraction,7.0,2020-09-20,2020-09-26
Nail or hair salon/spa,4.0,2020-09-20,2020-09-26
Religious service**,4.0,2020-09-20,2020-09-26
Dinner party,3.0,2020-09-20,2020-09-26
Resort,2.0,2020-09-20,2020-09-26
Wedding,2.0,2020-09-20,2020-09-26
Concert,1.0,2020-09-20,2020-09-26
Amusement park,1.0,2020-09-20,2020-09-26
Pro or youth sporting event,1.0,2020-09-20,2020-09-26
Restaurant,29.0,2020-09-27,2020-10-03
Gym,16.0,2020-09-27,2020-10-03
House party,16.0,2020-09-27,2020-10-03
Wedding,14.0,2020-09-27,2020-10-03
Beach,12.0,2020-09-27,2020-10-03
Religious service**,11.0,2020-09-27,2020-10-03
Bar,10.0,2020-09-27,2020-10-03
Other tourist attraction,8.0,2020-09-27,2020-10-03
Recreational center,6.0,2020-09-27,2020-10-03
Other large gathering,6.0,2020-09-27,2020-10-03
Outdoor event,3.0,2020-09-27,2020-10-03
Dinner party,3.0,2020-09-27,2020-10-03
Nail or hair salon/spa,3.0,2020-09-27,2020-10-03
Pro or youth sporting event,3.0,2020-09-27,2020-10-03
Amusement park,2.0,2020-09-27,2020-10-03
Indoor play center,2.0,2020-09-27,2020-10-03
