school,county,school_new,county_new
1500 BISCAYNE BLVD,UNKNOWN,,
1ST ACADEMY OF LEESBURG,UNKNOWN,,
3451 EDGEWOOD ROAD,UNKNOWN,,
42 NORTH,UNKNOWN,,
A CHILD'S PLACE MONTESSORI SCHOOL,DUVAL,A CHILD'S PLACE MONTESSORI SCHOOL,DUVAL
A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION,BROWARD,A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION,BROWARD
A'KELYNN'S ANGELS CHRISTIAN ACADEMY,POLK,A'KELYNN'S ANGELS CHRISTIAN ACADEMY,POLK
A. CRAWFORD MOSLEY HIGH SCHOOL,BAY,A. CRAWFORD MOSLEY HIGH SCHOOL,BAY
A. K. SUTER ELEMENTARY SCHOOL,ESCAMBIA,A. K. SUTER ELEMENTARY SCHOOL,ESCAMBIA
A. L. MEBANE MIDDLE SCHOOL,ALACHUA,A. L. MEBANE MIDDLE SCHOOL,ALACHUA
A. PHILIP RANDOLPH ACADEMIES,DUVAL,A. PHILIP RANDOLPH ACADEMIES,DUVAL
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,PALM BEACH,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,PALM BEACH
A.QUINN JONES CENTER,ALACHUA,A.QUINN JONES CENTER,ALACHUA
ABA HAINES CITY INC,POLK,ABA HAINES CITY INC,POLK
ABC ACADEMY,MIAMI-DADE,ABC ACADEMY,MIAMI-DADE
ABC INSTITUTE,MIAMI-DADE,ABC INSTITUTE,MIAMI-DADE
ABESS PARK ELEMENTARY,DUVAL,ABESS PARK ELEMENTARY SCHOOL,DUVAL
ABESS PARK ELEMENTARY SCHOOL,DUVAL,ABESS PARK ELEMENTARY SCHOOL,DUVAL
ABF LEARNING CENTER,MIAMI-DADE,ABF LEARNING CENTER,MIAMI-DADE
ABIDING SAVIOR LUTHERAN PRESCHOOL,ALACHUA,ABIDING SAVIOR LUTHERAN PRESCHOOL,ALACHUA
ABLE ACADEMICS,BREVARD,ABLE ACADEMICS,BREVARD
ABRAHAM LINCOLN MIDDLE SCHOOL,ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,ALACHUA
ABUNDANT LIFE CHRISTIAN ACADEMY,BROWARD,ABUNDANT LIFE CHRISTIAN ACADEMY,BROWARD
ACADEMIE DA VINCI CHARTER SCHOOL,PINELLAS,ACADEMIE DA VINCI CHARTER SCHOOL,PINELLAS
ACADEMIR CHARTER SCHOOL MIDDLE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL MIDDLE,MIAMI-DADE
