school,county
CARING & SHARING LEARNING SCHOOL,ALACHUA
CAROLYN BEATRICE PARKER ELEMENTARY,ALACHUA
CORNERSTONE ACADEMY,ALACHUA
COUNTRYSIDE CHRISTIAN SCHOOL,ALACHUA
EASTSIDE HIGH SCHOOL,ALACHUA
F. W. BUCHHOLZ HIGH SCHOOL,ALACHUA
FIRST CHRISTIAN ACADEMY,ALACHUA
GAINESVILLE HIGH SCHOOL,ALACHUA
HAWTHORNE MIDDLE/HIGH SCHOOL,ALACHUA
HIDDEN OAK ELEMENTARY SCHOOL,ALACHUA
HOWARD W. BISHOP MIDDLE SCHOOL,ALACHUA
KIMBALL WILES ELEMENTARY SCHOOL,ALACHUA
LITTLEWOOD ELEMENTARY SCHOOL,ALACHUA
MYRA TERWILLIGER ELEMENTARY SCHOOL,ALACHUA
NEWBERRY ELEMENTARY SCHOOL,ALACHUA
NEWBERRY HIGH SCHOOL,ALACHUA
OAK HALL SCHOOL,ALACHUA
OAK VIEW MIDDLE SCHOOL,ALACHUA
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL,ALACHUA
RESILIENCE CHARTER SCHOOL INC,ALACHUA
SANTA FE HIGH SCHOOL,ALACHUA
"THE EINSTEIN SCHOOL, INC.",ALACHUA
THE ROCK SCHOOL,ALACHUA
UNIVERSITY OF FLORIDA,ALACHUA
BAKER COUNTY MIDDLE SCHOOL,BAKER
BAKER COUNTY SENIOR HIGH SCHOOL,BAKER
J FRANKLYN KELLER INTERMEDIATE SCHOOL,BAKER
MACCLENNY ELEMENTARY SCHOOL,BAKER
WESTSIDE ELEMENTARY SCHOOL,BAKER
A. CRAWFORD MOSLEY HIGH SCHOOL,BAY
BAY HAVEN CHARTER ACADEMY,BAY
BAY HIGH SCHOOL,BAY
BREAKFAST POINT ACADEMY,BAY
CEDAR GROVE ELEMENTARY SCHOOL,BAY
CENTRAL ACADEMY,BAY
DEANE BOZEMAN SCHOOL,BAY
DEER POINT ELEMENTARY SCHOOL,BAY
HILAND PARK ELEMENTARY SCHOOL,BAY
J.R. ARNOLD HIGH SCHOOL,BAY
LUCILLE MOORE ELEMENTARY SCHOOL,BAY
LYNN HAVEN ELEMENTARY SCHOOL,BAY
MOWAT MIDDLE SCHOOL,BAY
NORTH BAY HAVEN CAREER ACADEMY,BAY
NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,BAY
NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,BAY
NORTHSIDE ELEMENTARY SCHOOL,BAY
PALM BAY ELEMENTARY SCHOOL,BAY
PARKER ELEMENTARY SCHOOL,BAY
SOUTHPORT ELEMENTARY SCHOOL,BAY
TOM P. HANEY TECHNICAL CENTER,BAY
TOMMY SMITH ELEMENTARY SCHOOL,BAY
UNIVERSITY ACADEMY SABL INC,BAY
BRADFORD DISTRICT OFFICE,BRADFORD
BRADFORD HIGH SCHOOL,BRADFORD
BRADFORD MIDDLE SCHOOL,BRADFORD
BROOKER ELEMENTARY SCHOOL,BRADFORD
HAMPTON ELEMENTARY SCHOOL,BRADFORD
LAWTEY ELEMENTARY SCHOOL,BRADFORD
NORTHSIDE CHRISTIAN ACADEMY,BRADFORD
SOUTHSIDE ELEMENTARY SCHOOL,BRADFORD
STARKE ELEMENTARY SCHOOL,BRADFORD
ATLANTIS ELEMENTARY SCHOOL,BREVARD
BAYSIDE HIGH SCHOOL,BREVARD
CALVARY CHAPEL ACADEMY,BREVARD
CENTRAL MIDDLE SCHOOL,BREVARD
CHRISTA MCAULIFFE ELEMENTARY SCHOOL,BREVARD
COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,BREVARD
COCOA HIGH SCHOOL,BREVARD
DISCOVERY ELEMENTARY SCHOOL,BREVARD
DR. W.J. CREEL ELEMENTARY SCHOOL,BREVARD
EAST ATLANTIC PREP OF BREVARD COUNTY,BREVARD
EAU GALLIE HIGH SCHOOL,BREVARD
EDGEWOOD JR/SR HIGH SCHOOL,BREVARD
ENDEAVOUR ELEMENTARY SCHOOL,BREVARD
ENTERPRISE ELEMENTARY SCHOOL,BREVARD
GOLFVIEW ELEMENTARY MAGNET SCHOOL,BREVARD
HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,BREVARD
HERITAGE HIGH SCHOOL,BREVARD
IMAGINE SCHOOLS AT WEST MELBOURNE,BREVARD
IMPERIAL ESTATES ELEMENTARY SCHOOL,BREVARD
JAMES MADISON MIDDLE SCHOOL,BREVARD
LOCKMAR ELEMENTARY SCHOOL,BREVARD
LYNDON B. JOHNSON MIDDLE SCHOOL,BREVARD
MEADOWLANE PRIMARY ELEMENTARY SCHOOL,BREVARD
MELBOURNE CENTRAL CATHOLIC HIGH SCHOOL,BREVARD
MERRITT ISLAND CHRISTIAN SCHOOL,BREVARD
MERRITT ISLAND HIGH SCHOOL,BREVARD
OAK PARK ELEMENTARY SCHOOL,BREVARD
OCEAN BREEZE ELEMENTARY SCHOOL,BREVARD
ODYSSEY CHARTER SCHOOL,BREVARD
ODYSSEY PREPARATORY CHARTER ACADEMY,BREVARD
OUR LADY OF LOURDES,BREVARD
PARK AVENUE CHRISTIAN ACADEMY,BREVARD
QUEST ELEMENTARY SCHOOL,BREVARD
ROBERT L. STEVENSON ELEMENTARY SCHOOL,BREVARD
ROCKLEDGE SENIOR HIGH SCHOOL,BREVARD
ROY ALLEN ELEMENTARY SCHOOL,BREVARD
