county,county_new,school,school_new
DUVAL,DUVAL,A CHILD'S PLACE MONTESSORI SCHOOL,A CHILD'S PLACE MONTESSORI SCHOOL
BROWARD,BROWARD,A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION,A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION
BAY,BAY,A. CRAWFORD MOSLEY HIGH SCHOOL,A. CRAWFORD MOSLEY HIGH SCHOOL
ESCAMBIA,ESCAMBIA,A. K. SUTER ELEMENTARY SCHOOL,A. K. SUTER ELEMENTARY SCHOOL
ALACHUA,ALACHUA,A. L. MEBANE MIDDLE SCHOOL,A. L. MEBANE MIDDLE SCHOOL
DUVAL,DUVAL,A. PHILIP RANDOLPH ACADEMIES,A. PHILIP RANDOLPH ACADEMIES
PALM BEACH,PALM BEACH,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL
ALACHUA,ALACHUA,A.QUINN JONES CENTER,A.QUINN JONES CENTER
POLK,POLK,A'KELYNN'S ANGELS CHRISTIAN ACADEMY,A'KELYNN'S ANGELS CHRISTIAN ACADEMY
POLK,POLK,ABA HAINES CITY INC,ABA HAINES CITY INC
MIAMI-DADE,MIAMI-DADE,ABC ACADEMY,ABC ACADEMY
MIAMI-DADE,MIAMI-DADE,ABC INSTITUTE,ABC INSTITUTE
DUVAL,DUVAL,ABESS PARK ELEMENTARY,ABESS PARK ELEMENTARY SCHOOL
DUVAL,DUVAL,ABESS PARK ELEMENTARY SCHOOL,ABESS PARK ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ABF LEARNING CENTER,ABF LEARNING CENTER
ALACHUA,ALACHUA,ABIDING SAVIOR LUTHERAN PRESCHOOL,ABIDING SAVIOR LUTHERAN PRESCHOOL
BREVARD,BREVARD,ABLE ACADEMICS,ABLE ACADEMICS
ALACHUA,ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,ABRAHAM LINCOLN MIDDLE SCHOOL
BROWARD,BROWARD,ABUNDANT LIFE CHRISTIAN ACADEMY,ABUNDANT LIFE CHRISTIAN ACADEMY
PINELLAS,PINELLAS,ACADEMIE DA VINCI CHARTER SCHOOL,ACADEMIE DA VINCI CHARTER SCHOOL
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL MIDDLE,ACADEMIR CHARTER SCHOOL MIDDLE
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE
UNKNOWN,MIAMI-DADE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE
UNKNOWN,MIAMI-DADE,ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL PREPARATORY,ACADEMIR CHARTER SCHOOL PREPARATORY
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL WEST,ACADEMIR CHARTER SCHOOL WEST
MIAMI-DADE,MIAMI-DADE,ACADEMIR CHARTER SCHOOL WEST (MIAMI),ACADEMIR CHARTER SCHOOL WEST
MIAMI-DADE,MIAMI-DADE,ACADEMIR PREPARATORY ACADEMY,ACADEMIR PREPARATORY ACADEMY
PASCO,PASCO,ACADEMY AT THE FARM,ACADEMY AT THE FARM
PASCO,PASCO,ACADEMY AT THE LAKES,ACADEMY AT THE LAKES
ORANGE,ORANGE,ACADEMY FOR AUTISM,ACADEMY FOR AUTISM
MIAMI-DADE,MIAMI-DADE,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOO,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL
MIAMI-DADE,MIAMI-DADE,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL
MIAMI-DADE,MIAMI-DADE,ACADEMY FOR INTERNATIONAL EDUCATION UPPER CHARTER,ACADEMY FOR INTERNATIONAL EDUCATION UPPER CHARTER
UNKNOWN,PALM BEACH,ACADEMY FOR NURSING AND HEALTH,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS
MIAMI-DADE,MIAMI-DADE,ACADEMY FOR YOUNG LEARNERS INC.,ACADEMY FOR YOUNG LEARNERS INC.
