school	county	school_new	county_new	"##=IF(ISERROR(MATCH(F2,A:A,0)),""Not found"",""Found"")"
A. L. MEBANE MIDDLE SCHOOL	ALACHUA	A. L. MEBANE MIDDLE SCHOOL	ALACHUA	
A.QUINN JONES CENTER	ALACHUA	A.QUINN JONES CENTER	ALACHUA	
ABIDING SAVIOR LUTHERAN PRESCHOOL	ALACHUA	ABIDING SAVIOR LUTHERAN PRESCHOOL	ALACHUA	
ABRAHAM LINCOLN MIDDLE SCHOOL	ALACHUA	ABRAHAM LINCOLN MIDDLE SCHOOL	ALACHUA	
ALACHUA ACADEMY	ALACHUA	ALACHUA ACADEMY	ALACHUA	
ALACHUA COUNTY PUBLIC SCHOOLS	ALACHUA	ALACHUA COUNTY PUBLIC SCHOOLS	ALACHUA	
ALACHUA DISTRICT OFFICE	ALACHUA	ALACHUA DISTRICT OFFICE	ALACHUA	
ALACHUA ELEMENTARY SCHOOL	ALACHUA	ALACHUA ELEMENTARY SCHOOL	ALACHUA	
ALACHUA LEARNING ACADEMY ELEMENTARY	ALACHUA	ALACHUA LEARNING ACADEMY ELEMENTARY SCHOOL	ALACHUA	
ALACHUA LEARNING ACADEMY MIDDLE	ALACHUA	ALACHUA LEARNING ACADEMY MIDDLE	ALACHUA	
AMIKIDS	ALACHUA	AMIKIDS	ALACHUA	
ARCHER ELEMENTARY	ALACHUA	ARCHER ELEMENTARY SCHOOL	ALACHUA	
BHAKTIVEDANTA ACADEMY	ALACHUA	BHAKTIVEDANTA ACADEMY	ALACHUA	
BOULWARE SPRINGS CHARTER	ALACHUA	BOULWARE SPRINGS CHARTER	ALACHUA	
BUCHHOLZ HIGH SCHOOL	ALACHUA	F. W. BUCHHOLZ HIGH SCHOOL	ALACHUA	
C. W. NORTON ELEMENTARY SCHOOL	ALACHUA	C. W. NORTON ELEMENTARY SCHOOL	ALACHUA	
CARING & SHARING LEARNING SCHOOL	ALACHUA	CARING & SHARING LEARNING SCHOOL	ALACHUA	
CAROLYN BEATRICE PARKER ELEMENTARY	ALACHUA	CAROLYN BEATRICE PARKER ELEMENTARY SCHOOL	ALACHUA	
CHESTER SHELL ELEMENTARY SCHOOL	ALACHUA	CHESTER SHELL ELEMENTARY SCHOOL	ALACHUA	
CITY COLLEGE - GAINESVILLE	ALACHUA	CITY COLLEGE - GAINESVILLE	ALACHUA	
CORNERSTONE ACADEMY	ALACHUA	CORNERSTONE ACADEMY	ALACHUA	
COUNTRYSIDE CHRISTIAN SCHOOL	ALACHUA	COUNTRYSIDE CHRISTIAN SCHOOL	ALACHUA	
EARLY LEARNING ACADEMY AT DUVAL	ALACHUA	EARLY LEARNING ACADEMY AT DUVAL	ALACHUA	
EASTSIDE HIGH SCHOOL	ALACHUA	EASTSIDE HIGH SCHOOL	ALACHUA	
EXPRESSIONS LEARNING ARTS ACADEMY	ALACHUA	EXPRESSIONS LEARNING ARTS ACADEMY	ALACHUA	
F. W. BUCHHOLZ HIGH SCHOOL	ALACHUA	F. W. BUCHHOLZ HIGH SCHOOL	ALACHUA	
FAMILY LIFE ACADEMY	ALACHUA	FAMILY LIFE ACADEMY	ALACHUA	
FIRST CHRISTIAN ACADEMY	ALACHUA	FIRST CHRISTIAN ACADEMY	ALACHUA	
FORT CLARKE MIDDLE SCHOOL	ALACHUA	FORT CLARKE MIDDLE SCHOOL	ALACHUA	
GAINESVILLE COUNTRY DAY SCHOOL	ALACHUA	GAINESVILLE COUNTRY DAY SCHOOL	ALACHUA	
GAINESVILLE HIGH SCHOOL	ALACHUA	GAINESVILLE HIGH SCHOOL	ALACHUA	
GLEN SPRINGS ELEMENTARY SCHOOL	ALACHUA	GLEN SPRINGS ELEMENTARY SCHOOL	ALACHUA	
HAWTHORNE MIDDLE/HIGH SCHOOL	ALACHUA	HAWTHORNE MIDDLE/HIGH SCHOOL	ALACHUA	
HIDDEN OAK ELEMENTARY SCHOOL	ALACHUA	HIDDEN OAK ELEMENTARY SCHOOL	ALACHUA	
HIGH SPRINGS COMMUNITY SCHOOL	ALACHUA	HIGH SPRINGS COMMUNITY SCHOOL	ALACHUA	
HOWARD W. BISHOP MIDDLE SCHOOL	ALACHUA	HOWARD W. BISHOP MIDDLE SCHOOL	ALACHUA	
IDYLWILD ELEMENTARY SCHOOL	ALACHUA	IDYLWILD ELEMENTARY SCHOOL	ALACHUA	
JORDAN GLEN SCHOOL INC.	ALACHUA	JORDAN GLEN SCHOOL INC.	ALACHUA	
JOSEPH WILLIAMS ELEMENTARY SCHOOL	ALACHUA	JOSEPH WILLIAMS ELEMENTARY SCHOOL	ALACHUA	
KANAPAHA MIDDLE SCHOOL	ALACHUA	KANAPAHA MIDDLE SCHOOL	ALACHUA	
KIMBALL WILES ELEMENTARY SCHOOL	ALACHUA	KIMBALL WILES ELEMENTARY SCHOOL	ALACHUA	
LAKE FOREST ELEMENTARY SCHOOL	ALACHUA	LAKE FOREST ELEMENTARY SCHOOL	ALACHUA	
LANIAKEA MONTESSORI SCHOOL	ALACHUA	LANIAKEA MONTESSORI SCHOOL	ALACHUA	
LAWTON M. CHILES ELEMENTARY SCHOOL	ALACHUA	LAWTON M. CHILES ELEMENTARY SCHOOL	ALACHUA	
LITTLEWOOD ELEMENTARY SCHOOL	ALACHUA	LITTLEWOOD ELEMENTARY SCHOOL	ALACHUA	
LIVING SPRINGS ACADEMY	ALACHUA	LIVING SPRINGS ACADEMY	ALACHUA	
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL	ALACHUA	MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL	ALACHUA	
MEADOWBROOK ELEMENTARY SCHOOL	ALACHUA	MEADOWBROOK ELEMENTARY SCHOOL	ALACHUA	
METCALFE ELEMENTARY SCHOOL	ALACHUA	METCALFE ELEMENTARY SCHOOL	ALACHUA	
MICANOPY ACADEMY	ALACHUA	MICANOPY ACADEMY	ALACHUA	
MICANOPY AREA COOPERATIVE SCHOOL, INC.	ALACHUA	MICANOPY AREA COOPERATIVE SCHOOL INC	ALACHUA	
MILLHOPPER MONTESSORI SCHOOL	ALACHUA	MILLHOPPER MONTESSORI SCHOOL	ALACHUA	
MYRA TERWILLIGER ELEMENTARY SCHOOL	ALACHUA	MYRA TERWILLIGER ELEMENTARY SCHOOL	ALACHUA	
NEWBERRY CHRISTIAN COMMUNITY SCHOOL	ALACHUA	NEWBERRY CHRISTIAN COMMUNITY SCHOOL	ALACHUA	
NEWBERRY ELEMENTARY SCHOOL	ALACHUA	NEWBERRY ELEMENTARY SCHOOL	ALACHUA	
NEWBERRY HIGH SCHOOL	ALACHUA	NEWBERRY HIGH SCHOOL	ALACHUA	
NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL	ALACHUA	NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL	ALACHUA	
NORTON ELEMENTARY SCHOOL	ALACHUA	C. W. NORTON ELEMENTARY SCHOOL	ALACHUA	
OAK HALL SCHOOL	ALACHUA	OAK HALL SCHOOL	ALACHUA	
OAK VIEW MIDDLE SCHOOL	ALACHUA	OAK VIEW MIDDLE SCHOOL	ALACHUA	
P. K. YONGE DEVELOPMENTAL RESEARCH SCHOOL	ALACHUA	P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL	ALACHUA	
P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL	ALACHUA	P.K. YONGE DEVELOPMENTAL RESEARCH SCHOOL	ALACHUA	
PACE	ALACHUA	PACE	ALACHUA	
PASSAGE CHRISTIAN ACADEMY & PRIME TIME AFTER SCHOO	ALACHUA	PASSAGE CHRISTIAN ACADEMY & PRIME TIME AFTER SCHOOL	ALACHUA	
PASSAGE CHRISTIAN ACADEMY & PRIME TIME AFTER SCHOOL	ALACHUA	PASSAGE CHRISTIAN ACADEMY & PRIME TIME AFTER SCHOOL	ALACHUA	
PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL	ALACHUA	PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL	ALACHUA	
QUEEN OF PEACE CATHOLIC ACADEMY	ALACHUA	QUEEN OF PEACE CATHOLIC ACADEMY	ALACHUA	
RESILIENCE CHARTER SCHOOL INC	ALACHUA	RESILIENCE CHARTER SCHOOL INC	ALACHUA	
SAINT FRANCIS CATHOLIC HIGH SCHOOL	ALACHUA	ST. FRANCIS CATHOLIC HIGH SCHOOL	ALACHUA	
SAINT PATRICK INTERPARISH SCHOOL	ALACHUA	ST. PATRICK INTERPARISH SCHOOL	ALACHUA	
SANTA FE COLLEGE	ALACHUA	SANTA FE COLLEGE	ALACHUA	
SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT	ALACHUA	SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT	ALACHUA	
