dis_num,school_id,school,county,city,active
1,221,A L MEBANE MIDDLE,ALACHUA,ALACHUA,A
1,52,A QUINN JONES CENTER,ALACHUA,GAINESVILLE,A
1,112,ABRAHAM LINCOLN MIDDLE,ALACHUA,GAINESVILLE,A
1,400,ADULT EDUCATION PROGRAM,ALACHUA,GAINESVILLE,A
1,602,ALACHUA ACADEMY,ALACHUA,GAINESVILLE,A
1,701,ALACHUA COUNTY JAIL,ALACHUA,GAINESVILLE,A
1,9001,ALACHUA DISTRICT OFFICE,ALACHUA,GAINESVILLE,A
1,161,ALACHUA ELEMENTARY,ALACHUA,ALACHUA,A
1,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),ALACHUA,GAINESVILLE,A
1,957,ALACHUA LEARNING ACADEMY ELEMENTARY,ALACHUA,ALACHUA,A
1,1011,ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA,ALACHUA,A
1,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,ALACHUA,GAINESVILLE,A
1,7001,ALACHUA VIRTUAL INSTRUCTION PROGRAM,ALACHUA,GAINESVILLE,A
1,7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),ALACHUA,GAINESVILLE,A
1,7006,ALACHUA VIRTUAL INSTRUCTION(COURSE OFFERINGS) SECONDARY,ALACHUA,GAINESVILLE,F
1,9054,ALTERNATIVE EDUCATION CENTER,ALACHUA,GAINESVILLE,C
1,603,AMIKIDS,ALACHUA,GAINESVILLE,A
1,83,ANCHOR SCHOOL,ALACHUA,GAINESVILLE,C
1,171,ARCHER ELEMENTARY,ALACHUA,ARCHER,A
1,1012,BOULWARE SPRINGS CHARTER,ALACHUA,GAINESVILLE,A
1,541,C W NORTON ELEMENTARY,ALACHUA,GAINESVILLE,A
1,491,CAMP CRYSTAL LAKE,ALACHUA,STARKE,C
1,953,CARING & SHARING LEARNING SCHOOL,ALACHUA,GAINESVILLE,A
1,31,CAROLYN BEATRICE PARKER ELEMENTARY,ALACHUA,GAINESVILLE,A
1,952,CHANCE CHARTER SCHOOLS,ALACHUA,GAINESVILLE,C
1,343,CHARACTER COUNTS CENTER,ALACHUA,GAINESVILLE,C
1,21,CHARLES W DUVAL ELEMENTARY,ALACHUA,GAINESVILLE,C
1,281,CHESTER SHELL ELEMENTARY,ALACHUA,HAWTHORNE,A
1,9045,CONTRACTED RESIDENTIAL SERVICES,ALACHUA,,F
1,1000,DESOTO HIGH INC ,ALACHUA,ARCHER,C
1,22,EARLY LEARNING ACADEMY AT DUVAL,ALACHUA,GAINESVILLE,A
1,421,EASTSIDE HIGH,ALACHUA,GAINESVILLE,A
1,956,EXPRESSIONS LEARNING ARTS ACADEMY,ALACHUA,GAINESVILLE,A
1,431,F W BUCHHOLZ HIGH,ALACHUA,GAINESVILLE,A
1,3900,FAMILY EMPOWERMENT SCHOLARSHIP PROGRAM,ALACHUA,,A
1,9096,FAMILY SERVICES,ALACHUA,ALACHUA COUNTY,C
1,9061,FAMILY SERVICES CENTER,ALACHUA,GAINESVILLE,C
1,492,FEARNSIDE FAMILY SERVICES CENTER,ALACHUA,GAINESVILLE,A
1,152,FLORIDA ONLINE HIGH,ALACHUA,GAINESVILLE,C
1,481,FORT CLARKE MIDDLE,ALACHUA,GAINESVILLE,A
1,9003,FRED SIVIA CENTER,ALACHUA,,C
1,151,GAINESVILLE HIGH,ALACHUA,GAINESVILLE,A
1,958,GENESIS PREPARATORY SCHOOL,ALACHUA,GAINESVILLE,C
