school,county,start_date,new_cases,new_cases_students,new_cases_teachers,new_cases_staff,new_cases_unknown,symptoms_yes,symptoms_no,symptoms_idk,cumulative_cases,cumulative_cases_students,cumulative_cases_teachers,cumulative_cases_staff,cumulative_cases_unknown,new_cases_employee
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-11-15,1,0,0,0,1,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-11-22,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-11-29,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-12-06,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-12-13,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-12-20,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2020-12-27,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-01-03,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-01-10,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-01-17,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-01-24,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-01-31,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,2021-02-07,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2020-12-13,1,1,0,0,0,1,0,0,1,1,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2020-12-20,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2020-12-27,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-01-03,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-01-10,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-01-17,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-01-24,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-01-31,0,0,0,0,0,2,0,0,2,2,0,0,0,0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,2021-02-07,1,1,0,0,0,3,0,0,3,3,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-11-08,1,1,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-11-15,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-11-22,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-11-29,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-12-06,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-12-13,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-12-20,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2020-12-27,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-01-03,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-01-10,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-01-17,0,0,0,0,0,1,0,0,1,1,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-01-24,1,1,0,0,0,2,0,0,2,2,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-01-31,1,1,0,0,0,3,0,0,3,3,0,0,0,0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,2021-02-07,1,1,0,0,0,3,1,1,5,5,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-09-20,0,0,0,0,0,0,1,0,1,1,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-09-27,1,1,0,0,0,0,2,0,2,2,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-10-11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-10-18,0,0,0,0,0,1,1,0,2,2,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-10-25,0,0,0,0,0,0,1,1,2,2,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-11-01,0,0,0,0,0,0,1,1,2,2,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-11-08,1,1,0,0,0,1,1,1,3,3,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-11-15,0,0,0,0,0,1,1,1,3,3,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-11-22,0,0,0,0,0,1,1,1,3,3,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-11-29,0,0,0,0,0,1,1,1,3,3,0,0,0,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-12-06,0,0,0,0,0,2,1,1,4,3,0,0,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-12-13,0,0,0,0,0,2,1,1,4,3,0,0,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-12-20,0,0,0,0,0,2,1,1,4,3,0,0,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2020-12-27,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-01-03,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-01-10,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-01-17,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-01-24,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-01-31,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-02-07,0,0,0,0,0,3,1,1,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-02-14,0,0,0,0,0,3,1,0,4,2,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-02-21,1,1,0,0,0,4,1,0,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-02-28,0,0,0,0,0,4,1,0,5,3,0,1,1,0
ADVENTHEALTH UNIVERSITY,ORANGE,2021-03-07,0,0,0,0,0,4,1,0,5,3,0,1,1,0
ALCO POINCIANA,OSCEOLA,2020-12-13,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2020-12-20,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2020-12-27,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-01-03,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-01-10,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-01-17,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-01-24,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-01-31,0,0,0,0,0,1,0,0,1,0,0,0,1,0
ALCO POINCIANA,OSCEOLA,2021-02-07,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2020-12-06,1,0,0,0,1,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2020-12-13,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2020-12-20,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2020-12-27,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-01-03,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-01-10,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-01-17,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-01-24,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-01-31,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN MEDICAL ACADEMY,MIAMI-DADE,2021-02-07,0,0,0,0,0,1,0,0,1,0,0,0,1,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-11-22,1,1,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-11-29,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-12-06,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-12-13,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-12-20,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2020-12-27,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-01-03,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-01-10,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-01-17,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-01-24,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-01-31,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMERICAN UNIVERSITY OF THE CARIBBEAN,BROWARD,2021-02-07,0,0,0,0,0,1,0,0,1,1,0,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-09-27,1,0,1,0,0,1,0,0,1,0,1,0,0,1
AMOS P. GODBY HIGH SCHOOL,LEON,2020-10-11,1,0,1,0,0,0,0,0,0,0,0,0,0,1
AMOS P. GODBY HIGH SCHOOL,LEON,2020-10-18,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-10-25,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-11-01,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-11-08,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-11-15,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-11-22,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-11-29,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-12-06,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-12-13,0,0,0,0,0,1,0,0,1,0,1,0,0,0
AMOS P. GODBY HIGH SCHOOL,LEON,2020-12-20,0,0,0,0,0,1,0,0,1,0,1,0,0,0
