school,county,type,date,start_date,new_cases,new_cases_students,new_cases_teachers,new_cases_staff,new_cases_unknown,symptoms_yes,symptoms_no,symptoms_idk,cumulative_cases,cumulative_cases_students,cumulative_cases_teachers,cumulative_cases_staff,cumulative_cases_unknown,new_cases_employee
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-11-14,2020-11-08,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-11-21,2020-11-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-11-28,2020-11-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-12-05,2020-11-29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-12-12,2020-12-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-12-19,2020-12-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2020-12-26,2020-12-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-01-02,2020-12-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-01-09,2021-01-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-01-16,2021-01-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-01-23,2021-01-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-01-30,2021-01-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-02-06,2021-01-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,university,2021-02-13,2021-02-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-11-21,2020-11-15,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-11-28,2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-12-05,2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-12-12,2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-12-19,2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2020-12-26,2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-01-02,2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-01-09,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-01-16,2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-01-23,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-01-30,2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-02-06,2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university,2021-02-13,2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2020-12-19,2020-12-13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2020-12-26,2020-12-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-01-02,2020-12-27,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-01-09,2021-01-03,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-01-16,2021-01-10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-01-23,2021-01-17,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-01-30,2021-01-24,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-02-06,2021-01-31,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,university,2021-02-13,2021-02-07,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-11-14,2020-11-08,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-11-21,2020-11-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-11-28,2020-11-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-12-05,2020-11-29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-12-12,2020-12-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-12-19,2020-12-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2020-12-26,2020-12-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-01-02,2020-12-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-01-09,2021-01-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-01-16,2021-01-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-01-23,2021-01-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-01-30,2021-01-24,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-02-06,2021-01-31,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,university,2021-02-13,2021-02-07,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-09-26,2020-09-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-10-03,2020-09-27,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-10-17,2020-10-11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-10-24,2020-10-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-10-31,2020-10-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-11-07,2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-11-14,2020-11-08,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-11-21,2020-11-15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-11-28,2020-11-22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-12-05,2020-11-29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-12-12,2020-12-06,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-12-19,2020-12-13,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2020-12-26,2020-12-20,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-01-02,2020-12-27,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-01-09,2021-01-03,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-01-16,2021-01-10,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-01-23,2021-01-17,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-01-30,2021-01-24,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-02-06,2021-01-31,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
ADVENTHEALTH UNIVERSITY,ORANGE,university,2021-02-13,2021-02-07,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0
