collection_week,hosp_00-17_7_day_sum,hosp_18-19_7_day_sum,hosp_20-29_7_day_sum,hosp_30-39_7_day_sum,hosp_40-49_7_day_sum,hosp_50-59_7_day_sum,hosp_60-69_7_day_sum,hosp_70-79_7_day_sum,hosp_80+_7_day_sum,hosp_all_ages_7_day_sum
2020-07-31,3203,537,4260,5740,7117,10460,13769,13191,11495,79239
2020-08-07,3556,617,4288,5817,6777,10394,13575,12839,11318,76634
2020-08-14,3172,14183,3945,5296,6241,9698,12544,12000,10719,80999
2020-08-21,3295,651,3771,4986,5759,9065,12127,11637,10547,77182
2020-08-28,3181,647,4188,5412,5868,8882,12348,11854,10686,76085
2020-09-04,3551,763,4167,5635,6005,9442,12373,12151,10988,71785
2020-09-11,3328,904,4172,5216,5772,9212,12155,12175,10819,69683
2020-09-18,3320,852,4145,5529,6119,9151,12589,12508,10846,68927
2020-09-25,3520,836,4127,5691,6294,9803,13145,13483,11888,71458
2020-10-02,3696,822,4360,5784,6751,11080,14562,15262,13381,78868
2020-10-09,3860,943,4575,6098,7280,11627,15946,16262,14613,79619
2020-10-16,3917,955,4581,6262,7584,12273,17013,17635,15409,83228
2020-10-23,3997,808,4669,6506,8213,13063,17914,18585,16779,86996
2020-10-30,4209,793,5097,7045,8903,14104,19222,20347,18864,95645
2020-11-06,5065,1030,5809,7936,10379,16999,23066,23845,21984,113603
2020-11-13,5502,1022,6249,8732,11376,19003,26154,27350,24392,127968
2020-11-20,5185,1015,6320,8949,11608,19796,27952,29645,26814,134810
2020-11-27,4855,997,6370,9048,12010,20369,28738,30654,28454,139006
2020-12-04,5263,1123,6724,9676,12318,21275,30361,32291,29876,146187
2020-12-11,5022,1053,6906,9535,12892,22240,31501,33496,30758,151298
2020-12-18,4707,1169,6807,9718,12740,22129,31972,33972,31427,152419
2020-12-25,4739,955,6579,9418,12692,21787,31706,34104,31796,151700
2021-01-01,5263,1100,7051,10220,13118,23040,33260,35747,33574,160856
2021-01-08,5119,1048,7041,9943,12907,22504,32226,34805,32314,155753
2021-01-15,5118,1039,6668,9449,12395,21004,29769,31873,29167,143890
2021-01-22,5229,1047,6306,8930,11270,19182,27230,28152,25890,130317
2021-01-29,5139,1037,5875,8235,10220,17084,24000,24426,22018,114107
2021-02-05,5018,829,5657,7448,9212,15377,20881,21390,18918,100493
2021-02-12,4359,797,4919,6687,7780,12870,17391,17351,15382,82887
