collection_week,hosp_00-17_7_day_sum,hosp_18-19_7_day_sum,hosp_20-29_7_day_sum,hosp_30-39_7_day_sum,hosp_40-49_7_day_sum,hosp_50-59_7_day_sum,hosp_60-69_7_day_sum,hosp_70-79_7_day_sum,hosp_80+_7_day_sum,hosp_all_ages_7_day_sum
2020-07-31,3226,536,4271,5750,7128,10478,13796,13229,11514,69933
2020-08-07,3558,617,4292,5824,6784,10396,13573,12843,11323,69214
2020-08-14,3170,14183,3950,5300,6240,9702,12553,12008,10729,77840
2020-08-21,3300,654,3783,4991,5768,9075,12151,11647,10567,61939
2020-08-28,3184,647,4190,5415,5868,8903,12368,11859,10693,63130
2020-09-04,3550,764,4167,5640,6006,9454,12397,12158,11001,65142
2020-09-11,3332,903,4173,5220,5779,9225,12184,12208,10829,63858
2020-09-18,3321,852,4150,5530,6120,9166,12639,12547,10861,65190
2020-09-25,3518,837,4127,5697,6314,9819,13175,13501,11910,68902
2020-10-02,3696,822,4360,5785,6765,11084,14578,15294,13396,75784
2020-10-09,3863,942,4583,6106,7297,11650,15966,16290,14625,81326
2020-10-16,3923,956,4586,6267,7594,12304,17033,17677,15428,85771
2020-10-23,3998,808,4672,6508,8224,13091,17930,18616,16796,90648
2020-10-30,4201,793,5106,7053,8905,14130,19259,20373,18889,98713
2020-11-06,5069,1030,5814,7957,10385,17020,23113,23897,22043,116333
2020-11-13,5502,1022,6266,8743,11398,19061,26195,27389,24430,130010
2020-11-20,5186,1017,6330,8956,11614,19837,28012,29723,26862,137541
2020-11-27,4855,998,6382,9054,12037,20407,28791,30733,28519,141780
2020-12-04,5264,1122,6756,9705,12365,21322,30431,32438,29988,149395
2020-12-11,5023,1057,6949,9570,12930,22294,31607,33668,30871,153973
2020-12-18,4707,1169,6832,9735,12778,22186,32046,34069,31501,155028
2020-12-25,4737,955,6583,9423,12719,21830,31770,34192,31852,154064
2021-01-01,5263,1100,7053,10248,13138,23073,33339,35818,33623,162659
2021-01-08,5119,1047,7050,9952,12943,22552,32289,34885,32377,158220
2021-01-15,5121,1038,6684,9467,12403,21044,29833,31961,29217,146771
2021-01-22,5229,1048,6322,8946,11286,19230,27284,28232,25935,133516
2021-01-29,5140,1037,5894,8260,10240,17110,24065,24453,22060,118261
2021-02-05,5018,829,5673,7458,9235,15405,20932,21436,18951,104940
2021-02-12,4422,807,4995,6769,7880,13043,17626,17566,15533,88644
2021-02-19,4394,855,4895,6591,7987,12586,17018,16835,14522,85686
2021-02-26,4190,818,4657,6314,7051,11486,14999,14445,12491,76456
2021-03-05,4066,765,4464,6058,6931,11168,14124,13238,11233,72051
