date,new_cases_employee,new_cases_students
2020-09-17,18.0,37.0
2020-09-18,9.0,52.0
2020-09-19,10.0,18.0
2020-09-20,10.0,14.0
2020-09-21,30.0,64.0
2020-09-22,13.0,31.0
2020-09-23,22.0,40.0
2020-09-24,28.0,53.0
2020-09-25,29.0,47.0
2020-09-26,9.0,22.0
2020-09-27,25.0,19.0
2020-09-28,36.0,109.0
2020-09-29,29.0,42.0
2020-09-30,27.0,73.0
2020-10-01,31.0,53.0
2020-10-02,30.0,71.0
2020-10-03,8.0,19.0
2020-10-04,22.0,24.0
2020-10-05,38.0,89.0
2020-10-06,32.0,82.0
2020-10-07,33.0,75.0
2020-10-08,42.0,88.0
2020-10-09,31.0,81.0
2020-10-10,18.0,28.0
2020-10-11,24.0,36.0
2020-10-12,46.0,136.0
2020-10-13,40.0,74.0
2020-10-14,44.0,73.0
2020-10-15,35.0,89.0
2020-10-16,41.0,96.0
2020-10-17,26.0,28.0
2020-10-18,26.0,30.0
2020-10-19,56.0,181.0
2020-10-20,40.0,105.0
2020-10-21,64.0,118.0
2020-10-22,56.0,116.0
2020-10-23,68.0,128.0
2020-10-24,28.0,32.0
2020-10-25,35.0,41.0
2020-10-26,81.0,216.0
2020-10-27,57.0,129.0
2020-10-28,94.0,138.0
2020-10-29,103.0,196.0
2020-10-30,82.0,213.0
2020-10-31,51.0,61.0
2020-11-01,71.0,68.0
2020-11-02,128.0,368.0
2020-11-03,115.0,230.0
2020-11-04,127.0,296.0
2020-11-05,159.0,347.0
2020-11-06,137.0,304.0
2020-11-07,73.0,89.0
2020-11-08,86.0,100.0
2020-11-09,221.0,725.0
2020-11-10,158.0,381.0
2020-11-11,191.0,384.0
2020-11-12,185.0,415.0
2020-11-13,178.0,428.0
2020-11-14,90.0,106.0
2020-11-15,105.0,122.0
2020-11-16,213.0,594.0
2020-11-17,143.0,341.0
2020-11-18,173.0,377.0
2020-11-19,155.0,339.0
2020-11-20,186.0,348.0
2020-11-21,63.0,88.0
2020-11-22,84.0,91.0
2020-11-23,221.0,582.0
2020-11-24,124.0,325.0
2020-11-25,137.0,147.0
2020-11-26,23.0,33.0
2020-11-27,85.0,88.0
2020-11-28,77.0,109.0
2020-11-29,109.0,109.0
2020-11-30,221.0,626.0
2020-12-01,156.0,290.0
2020-12-02,156.0,370.0
2020-12-03,161.0,330.0
2020-12-04,175.0,385.0
2020-12-05,84.0,96.0
2020-12-06,74.0,127.0
2020-12-07,207.0,616.0
2020-12-08,148.0,322.0
2020-12-09,144.0,349.0
2020-12-10,163.0,407.0
2020-12-11,147.0,341.0
2020-12-12,83.0,106.0
2020-12-13,80.0,124.0
2020-12-14,207.0,582.0
2020-12-15,121.0,314.0
2020-12-16,122.0,288.0
2020-12-17,131.0,273.0
2020-12-18,96.0,230.0
2020-12-19,48.0,80.0
2020-12-20,30.0,53.0
2020-12-21,75.0,124.0
2020-12-22,64.0,94.0
2020-12-23,47.0,44.0
2020-12-24,20.0,29.0
2020-12-25,15.0,16.0
2020-12-26,16.0,25.0
2020-12-27,18.0,12.0
2020-12-28,51.0,75.0
2020-12-29,48.0,77.0
2020-12-30,58.0,68.0
2020-12-31,53.0,48.0
2021-01-01,42.0,27.0
2021-01-02,52.0,42.0
2021-01-03,51.0,49.0
2021-01-04,105.0,390.0
2021-01-05,89.0,222.0
2021-01-06,83.0,254.0
2021-01-07,107.0,296.0
2021-01-08,91.0,341.0
2021-01-09,35.0,81.0
2021-01-10,58.0,102.0
2021-01-11,137.0,462.0
2021-01-12,75.0,274.0
2021-01-13,79.0,301.0
2021-01-14,83.0,302.0
2021-01-15,92.0,289.0
2021-01-16,52.0,77.0
2021-01-17,53.0,62.0
2021-01-18,102.0,178.0
2021-01-19,118.0,461.0
2021-01-20,83.0,241.0
2021-01-21,80.0,292.0
2021-01-22,63.0,216.0
2021-01-23,32.0,50.0
2021-01-24,44.0,61.0
2021-01-25,107.0,339.0
2021-01-26,62.0,163.0
2021-01-27,52.0,207.0
2021-01-28,66.0,173.0
2021-01-29,61.0,179.0
2021-01-30,25.0,55.0
2021-01-31,32.0,57.0
2021-02-01,71.0,215.0
2021-02-02,50.0,205.0
2021-02-03,57.0,194.0
2021-02-04,56.0,145.0
2021-02-05,46.0,134.0
2021-02-06,26.0,40.0
2021-02-07,39.0,26.0
2021-02-08,50.0,214.0
2021-02-09,43.0,123.0
2021-02-10,44.0,129.0
2021-02-11,32.0,119.0
2021-02-12,28.0,92.0
2021-02-13,12.0,32.0
2021-02-14,12.0,18.0
2021-02-15,28.0,44.0
2021-02-16,33.0,50.0
2021-02-17,21.0,75.0
2021-02-18,24.0,65.0
2021-02-19,21.0,90.0
2021-02-20,13.0,15.0
2021-02-21,21.0,23.0
2021-02-22,22.0,125.0
2021-02-23,16.0,67.0
2021-02-24,16.0,83.0
2021-02-25,22.0,76.0
2021-02-26,19.0,73.0
2021-02-27,12.0,13.0
2021-02-28,20.0,17.0
2021-03-01,28.0,103.0
2021-03-02,33.0,67.0
2021-03-03,31.0,76.0
2021-03-04,26.0,73.0
2021-03-05,24.0,77.0
2021-03-06,8.0,18.0
2021-03-07,14.0,21.0
2021-03-08,40.0,131.0
2021-03-09,21.0,73.0
2021-03-10,29.0,106.0
2021-03-11,25.0,81.0
2021-03-12,33.0,82.0
2021-03-13,10.0,26.0
2021-03-14,14.0,18.0
2021-03-15,35.0,108.0
2021-03-16,33.0,79.0
2021-03-17,28.0,101.0
2021-03-18,29.0,75.0
2021-03-19,25.0,87.0
2021-03-20,5.0,25.0
2021-03-21,11.0,16.0
2021-03-22,22.0,97.0
2021-03-23,22.0,46.0
2021-03-24,20.0,60.0
2021-03-25,18.0,44.0
2021-03-26,14.0,60.0
2021-03-27,11.0,15.0
2021-03-28,14.0,22.0
2021-03-29,29.0,132.0
2021-03-30,20.0,70.0
2021-03-31,15.0,62.0
2021-04-01,16.0,75.0
2021-04-02,13.0,27.0
2021-04-03,10.0,7.0
2021-04-04,6.0,22.0
2021-04-05,20.0,148.0
2021-04-06,21.0,75.0
2021-04-07,25.0,67.0
2021-04-08,9.0,77.0
2021-04-09,16.0,78.0
2021-04-10,13.0,17.0
2021-04-11,14.0,33.0
2021-04-12,21.0,178.0
2021-04-13,17.0,101.0
2021-04-14,18.0,100.0
2021-04-15,13.0,137.0
2021-04-16,16.0,123.0
2021-04-17,4.0,16.0
2021-04-18,7.0,36.0
2021-04-19,21.0,182.0
2021-04-20,22.0,95.0
2021-04-21,12.0,109.0
2021-04-22,11.0,103.0
2021-04-23,9.0,87.0
