name,county,date,new_cases,week
Greensboro Elementary School,Caroline,2020-10-29,10,42
Archbishiop Neale School,Charles,2020-10-29,4,42
Brunswick Middle School,Frederick,2020-10-29,3,42
Annapolis Area Christian School - Upper School,Anne Arundel,2020-10-29,2,42
Beth Tfiloh Dahan Community School,Baltimore,2020-10-29,5,42
Worcester Preparatory School,Worcester,2020-10-29,3,42
Garrison Forrest Elementary,Baltimore,2020-10-29,3,42
Route 40 Elementary,Garrett,2020-10-29,2,42
Eastern Elementary School,Washington,2020-10-29,2,42
Clear Springs High School,Washington,2020-10-29,2,42
Greensboro Elementary School,Caroline,2020-11-05,12,43
Archbishop Neale Elementary School,Charles,2020-11-05,12,43
Worcester Preparatory School,Worcester,2020-11-05,3,43
Route 40 Elementary,Garrett,2020-11-05,2,43
Clear Spring High,Washington,2020-11-05,2,43
Gerstell Academy,Carroll,2020-11-05,3,43
Greenwood Elementary,Somerset,2020-11-05,2,43
Glenelg Country School,Howard,2020-11-05,4,43
Emmanuel Lutheran School,Baltimore,2020-11-05,5,43
Manor Woods Elementary,Howard,2020-11-05,2,43
Cedar Ridge School,Washington,2020-11-05,2,43
Carter G Woodson Elementary,Somerset,2020-11-05,3,43
St. Andrew's Episcopal School,Montgomery,2020-11-05,2,43
Route 40 Elementary,Garrett,2020-11-11,2,44
Gerstell Academy,Carroll,2020-11-11,3,44
Greenwood Elementary,Somerset,2020-11-11,2,44
Glenelg Country School,Howard,2020-11-11,8,44
Emmanuel Lutheran School,Baltimore,2020-11-11,5,44
Manor Woods Elementary,Howard,2020-11-11,2,44
Cedar Ridge School,Washington,2020-11-11,4,44
Woodson Elementary School,Somerset,2020-11-11,3,44
St. Andrew's Episcopal School,Montgomery,2020-11-11,2,44
St. Elizabeth School,Montgomery,2020-11-11,2,44
Grace Academy,Washington,2020-11-11,14,44
Robert Moton Elementary,Carroll,2020-11-11,2,44
Seaside Christian Academy,Worcester,2020-11-11,2,44
McDonough School,Baltimore,2020-11-11,2,44
St. Mark's School,Baltimore,2020-11-11,7,44
Pangborn Elementary,Washington,2020-11-11,4,44
St. Agnes Catholic School,Baltimore,2020-11-11,2,44
North Point High School,Charles,2020-11-11,2,44
Joppatowne Elementary School,Harford,2020-11-11,6,44
Monsignor Slade Catholic School,Anne Arundel,2020-11-11,3,44
Windy Hill Elementary School,Calvert,2020-11-11,2,44
Truth Christian Academy,Washington,2020-11-11,2,44
Hagerstown High School,Washington,2020-11-11,3,44
Living Hope Christian School,Somerset,2020-11-11,2,44
Stephen Decatur High School,Worcester,2020-11-11,2,44
Mount Saint Joseph,Baltimore City,2020-11-11,2,44
Gerstell Academy,Carroll,2020-11-18,3,45
Glenelg Country School,Howard,2020-11-18,7,45
Manor Woods Elementary,Howard,2020-11-18,2,45
Cedar Ridge School,Washington,2020-11-18,4,45
Woodson Elementary School,Somerset,2020-11-18,5,45
St. Andrew's Episcopal School,Montgomery,2020-11-18,2,45
St. Elizabeth School,Montgomery,2020-11-18,2,45
Grace Academy,Washington,2020-11-18,16,45
Robert Moton Elementary,Carroll,2020-11-18,2,45
Seaside Christian Academy,Worcester,2020-11-18,2,45
McDonough School,Baltimore,2020-11-18,4,45
St. Mark's School,Baltimore,2020-11-18,8,45
Pangborn Elementary,Washington,2020-11-18,4,45
Saint Agnes Catholic School,Baltimore,2020-11-18,2,45
North Point High School,Charles,2020-11-18,2,45
