County,School Name,School Address,City,School Grades,num_cases,affecting_who,date
Gogebic,A.D. Johnston High School,100 Lead Street,Bessemer,High school,5,Both,2020-10-26
Genesee,Academy of Flint,2820 Saginaw St.,Flint,Pre-school - elementary,2,Both,2020-12-28
Oakland,Adams High,3200 W Tienken Rd,Rochester Hills,High school,2,Students,2020-12-07
Lenawee,Addison Schools,219 S Comstock St,Addison,High school,2,Students,2021-03-08
Lenawee,Adrian High School,785 Riverside Ave,Adrian,High school,3,Students,2020-11-02
Monroe,Airport High School,11330 Grafton Rd,Carleton,High school,2,Students,2020-09-21
Tuscola,Akron Fairgrove Middle,2800 N Thomas Rd,Fairgrove,Junior high/middle school,2,Students,2021-03-29
Tuscola,Akron-Fairgrove School,2800 N Thomas Rd,Fairgrove,Junior high/middle school,3,Both,2020-11-16
Emmet,Alanson Head Start,7400 North st,Alanson,Pre-school - elementary,2,Students,2021-02-01
Shiawassee,Algonac High School,5200 Taft Rd.,Algonac,High school,2,Staff,2020-11-16
Macomb,Algonquin Middle School,19150 Briarwood Dr,Clinton Twp,Junior high/middle school,3,Staff,2021-02-22
Gogebic,All Saints Academy,106 S Marquette Street,Ironwood,Pre-school - elementary,2,Students,2020-11-02
Bay,All Saints High School,217 S. Monroe St,Bay City,High school,8,Both,2021-03-29
Allegan,Allegan High School,1560 M-40,Allegan,High school,3,Students,2020-12-07
Wayne,Allen Park High School,18401 Champaign Rd,Allen Park,High school,4,Students,2021-03-15
Ottawa,Allendale High School,10760 68th Ave,Allendale,High school,2,Students,2020-12-07
Ottawa,Allendale High School,10760 68th Ave,Allendale,High school,2,Students,2021-04-05
Gratiot,Alma High School,1500 N Pine Ave,Alma,High school,4,Students,2021-04-05
Lapeer,Almont High School,4701 Howland Rd.,Almont,High school,3,Students,2020-10-05
Lapeer,Almont High School,4701 Howland Rd,Almont,High school,3,Students,2020-11-16
Lapeer,Almont High School,4701 Howland Rd,Almont,High school,4,Students,2021-03-29
Lapeer,Almont High School,4701 Howland Rd,Almont,High school,6,Students,2021-04-05
Lapeer,Almont Middle School,4701 Howland Rd,Almont,Junior high/middle school,6,Students,2021-03-29
Lapeer,Almont Orchard Primary,4701 Howland Rd,Almont,Pre-school - elementary,2,Both,2021-02-22
Macomb,Amanda Moore Elementary,209 Dickenson St,Romeo,Pre-school - elementary,2,Students,2021-04-05
Macomb,Anchor Bay High School,6319 County Line Rd,Ira,High school,2,Staff,2020-10-19
Macomb,Anchor Bay High School,6319 County Line Rd,Fair Haven,High school,4,Students,2021-03-22
Macomb,Anchor Bay Middle School South,48650 Sugarbush Rd,New Baltimore,Junior high/middle school,2,Students,2020-11-16
Macomb,Anchor Bay North Middle School,52805 Ashley St,New Baltimore,Junior high/middle school,2,Students,2021-02-08
St. Joseph,Andrews Elementary School,200 Douglas Ave.,Three Rivers,Pre-school - elementary,8,Both,2021-02-22
Macomb,Ardmore Elementary,27001 Greater Mack Ave,St. Clair Shores,Pre-school - elementary,3,Both,2020-11-23
Macomb,Armada High School,23655 Armada Center Rd,Armada,High school,4,Both,2020-12-21
Macomb,Armada High School,23655 Armada Center Rd,Armada,High school,2,Students,2021-02-08
Genesee,Armstrong Middle School,6161 Hopkins Road,Flint,Junior high/middle school,2,Staff,2020-12-14
Saginaw,Arrowwood Elementary,5410 Seidel Road,Saginaw,Pre-school - elementary,4,Staff,2020-09-15
Marquette,Aspen Ridge,350 Aspen Ridge School Rd,Ishpeming,Pre-school - elementary,2,Students,2020-11-02
Oakland,Athens High School,4333 John R Rd,Troy,High school,2,Students,2021-04-05
Genesee,Atherton Elementary School,3444 South Genesee Road,Burton,Pre-school - elementary,3,Staff,2020-09-28
Huron,Bad Axe High School,200 N Barrie Rd,Bad Axe,High school,7,Both,2021-03-29
Montcalm,Baldwin Heights Elem,821 W Oak St,Greenville,Pre-school - elementary,3,Staff,2020-12-07
Ottawa,Baldwin Street Middle School,3835 Baldwin St,Hudsonville,Junior high/middle school,2,Students,2020-12-07
Ottawa,Baldwin Street Middle School,3835 Baldwin St,Hudsonville,Junior high/middle school,2,Students,2021-04-05
Bay,Bangor West,3175 Wilder Rd,Bay City,Pre-school - elementary,3,Both,2020-11-23
Detroit City,Barack Obama Leadership Academy,10800 E Canfield St,Detroit City,Pre-school - elementary,5,Staff,2021-02-08
Detroit City,Barack Obama Leadership Academy,10800 E Canfield St,Detroit City,Pre-school - elementary,5,Staff,2021-02-15
Baraga,Baraga Area Schools,210 Lyons Street,Baraga,Pre-school - elementary,10,Both,2020-11-09
Genesee,Barhitte Elementary,6080 Roberta St,Burton,Pre-school - elementary,3,Staff,2020-11-16
Menominee,Bark River-Harris Schools,W471 US2&41,Harris,Junior high/middle school,7,Both,2020-10-12
Barry,Barry County Christian School,2999 Mckeown,Hastings,Pre-school - elementary,3,Both,2020-11-02
Mecosta,Barryton Elementary,19701 30th Ave.,Barryton,Pre-school - elementary,3,Both,2020-11-09
Clinton,Bath High School,6175 Clark Rd,Bath,High school,9,Both,2021-03-22
Calhoun,Battle Creek Central,100 W Van Buren Street,Battle Creek,Administrative,2,Staff,2020-11-16
Calhoun,Battle Creek Central,100 W Van Buren St,Battle Creek,High school,5,Students,2021-03-15
Bay,Bay Arenac ISD,4428 2 Mile Rd,Bay City,High school,3,Both,2020-11-23
Bay,Bay City All Saints High School,217 South Monroe Street,Bay City,High school,2,Students,2020-12-07
Bay,Bay City Central High School,910 N Walnut St,Bay City,High school,8,Both,2020-11-23
Bay,Bay City Central High School,164 Columbus Ave,Bay City,High school,22,Both,2021-04-05
Jackson,Bean Elementary,3201 Noble Rd,Spring Arbor,Pre-school - elementary,3,both,2021-01-25
Manistee,Bear Lake Elementary School,7748 Cody St.,Bear Lake,Pre-school - elementary,2,Both,2021-02-01
Gladwin,Beaverton Elementary,440 S. Ross Street,Beaverton,Pre-school - elementary,5,Both,2020-11-23
Gladwin,Beaverton Elementary,440 S. Ross Street,Beaverton,Pre-school - elementary,3,Both,2021-01-25
Monroe,Bedford High School,8285 Jackman Rd,Temperance,High school,12,Students,2021-03-15
Wayne,Belleville High School,501 W. Columbia Ave,Belleville,High school,3,Students,2021-02-08
Eaton,Bellevue Elementary,904 W Capital Ave,Bellevue,Pre-school - elementary,6,Both,2021-03-22
