date,setting_type,county,facility,cases_employee,deaths_employee,cases_students,deaths_students,status
2020-12-11,Child Care,Alamance,Childcare Network #297,1,0,4,0,ongoing
2020-12-18,Child Care,Alamance,Childcare Network #297,1,0,4,0,ongoing
2020-12-22,Child Care,Alamance,Childcare Network #297,1,0,4,0,ongoing
2021-01-26,Child Care,Alamance,Childcare Network #297,1,0,4,0,ongoing
2021-02-05,Child Care,Alamance,Childcare Network #297,1,0,4,0,resolved
2020-12-15,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2020-12-18,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2020-12-22,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-05,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-08,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-12,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-15,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-19,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-22,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-26,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-01-29,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-02-02,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,ongoing
2021-02-05,K-12 School,Alamance,E.M. Yoder Elementary School,4,0,2,0,resolved
2020-12-15,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2020-12-18,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2020-12-22,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-05,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-08,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-12,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-15,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-19,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-22,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-26,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-01-29,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
2021-02-02,K-12 School,Alamance,Highland Elementary,5,0,0,0,ongoing
