date,id,name,city,zip,schoolOpeningDate,operatingModel,new_cases_students,new_cases_employee,,https://districtinformation.tnedu.gov/covid-information/search/-1
2020-09-12,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,0.0,,
2020-09-19,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,0.0,,
2020-10-26,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,3.0,,
2020-10-29,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,3.0,,
2020-11-02,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,2.0,8.0,,
2020-11-05,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,2.0,8.0,,
2020-11-09,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,4.0,6.0,,
2020-11-16,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,1.0,9.0,,
2020-11-23,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,9.0,1.0,,
2020-11-30,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,3.0,1.0,,
2021-03-01,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,0.0,,
2021-03-08,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,0.0,,
2021-03-09,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,1.0,,
2021-03-16,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,1.0,0.0,,
2021-03-17,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,1.0,0.0,,
2021-03-24,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,0.0,,
2021-04-13,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,5.0,0.0,,
2021-04-19,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,5.0,0.0,,
2021-04-26,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,0.0,2.0,,
2021-04-27,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,5.0,1.0,,
2021-05-03,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,5.0,1.0,,
2021-05-04,985,Achievement School District,Nashville,37243,2020-08-31,Hybrid-Parent Choice,5.0,1.0,,
2020-09-12,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,2.0,0.0,,
2020-09-19,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2020-10-26,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,2.0,3.0,,
2020-10-29,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,2.0,3.0,,
2020-11-02,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,1.0,1.0,,
2020-11-05,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,1.0,1.0,,
2020-11-09,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2020-11-16,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2020-11-23,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2020-11-30,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,5.0,0.0,,
2021-03-01,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2021-03-08,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-03-09,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-03-16,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-03-17,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-03-24,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-04-13,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,1.0,0.0,,
2021-04-19,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,1.0,0.0,,
2021-04-26,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,0.0,0.0,,
2021-04-27,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2021-05-03,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2021-05-04,171,Alamo,Alamo,38001,2020-08-24,Hybrid-Parent Choice,,,,
2020-09-12,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,0.0,0.0,,
2020-09-19,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,0.0,0.0,,
2020-10-26,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,1.0,1.0,,
2020-10-29,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,1.0,1.0,,
2020-11-02,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2020-11-05,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2020-11-09,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2020-11-16,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,3.0,5.0,,
2020-11-23,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,21.0,1.0,,
2020-11-30,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-03-01,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,2.0,1.0,,
2021-03-08,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,3.0,0.0,,
2021-03-09,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-03-16,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-03-17,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-03-24,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-04-13,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,0.0,0.0,,
2021-04-19,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,0.0,0.0,,
2021-04-26,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-04-27,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-05-03,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2021-05-04,51,Alcoa,Alcoa,37701,2020-07-22,Hybrid-Parent Choice,,,,
2020-09-12,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,1.0,0.0,,
2020-09-19,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,19.0,0.0,,
2020-10-26,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,3.0,2.0,,
2020-10-29,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,3.0,2.0,,
2020-11-02,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,3.0,0.0,,
2020-11-05,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,3.0,0.0,,
2020-11-09,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,0.0,2.0,,
2020-11-16,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,3.0,1.0,,
2020-11-23,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,4.0,1.0,,
2020-11-30,961,Alvin C York Institute,Jamestown,38556,2020-08-03,Hybrid-Parent Choice,1.0,0.0,,
