school,county,type
A CHILD'S PLACE MONTESSORI SCHOOL,DUVAL,k12
A E F SCHOOLS ALTERNATIVE EDU. FOUNDATION,BROWARD,k12
A'KELYNN'S ANGELS CHRISTIAN ACADEMY,POLK,k12
A. CRAWFORD MOSLEY HIGH SCHOOL,BAY,k12
A. K. SUTER ELEMENTARY SCHOOL,ESCAMBIA,k12
A. L. MEBANE MIDDLE SCHOOL,ALACHUA,k12
A. PHILIP RANDOLPH ACADEMIES,DUVAL,k12
A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,PALM BEACH,k12
A.QUINN JONES CENTER,ALACHUA,k12
ABA HAINES CITY INC,POLK,k12
ABC ACADEMY,MIAMI-DADE,k12
ABC INSTITUTE,MIAMI-DADE,k12
ABESS PARK ELEMENTARY SCHOOL,DUVAL,k12
ABF LEARNING CENTER,MIAMI-DADE,k12
ABIDING SAVIOR LUTHERAN PRESCHOOL,ALACHUA,k12
ABLE ACADEMICS,BREVARD,k12
ABRAHAM LINCOLN MIDDLE SCHOOL,ALACHUA,k12
ABUNDANT LIFE CHRISTIAN ACADEMY,BROWARD,k12
ACADEMIC SOLUTIONS HIGH SCHOOL,BROWARD,k12
ACADEMIE DA VINCI CHARTER SCHOOL,PINELLAS,k12
ACADEMIR CHARTER SCHOOL MIDDLE,MIAMI-DADE,k12
ACADEMIR CHARTER SCHOOL OF MATH & SCIENCE,MIAMI-DADE,k12
ACADEMIR CHARTER SCHOOL PREPARATORY,MIAMI-DADE,k12
ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,k12
ACADEMIR PREPARATORY ACADEMY,MIAMI-DADE,k12
ACADEMY AT THE FARM,PASCO,k12
ACADEMY AT THE LAKES,PASCO,k12
ACADEMY FOR AUTISM,ORANGE,k12
ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,MIAMI-DADE,k12
ACADEMY FOR INTERNATIONAL EDUCATION UPPER CHARTER,MIAMI-DADE,k12
ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,PALM BEACH,university
ACADEMY FOR YOUNG LEARNERS INC.,MIAMI-DADE,k12
ACADEMY OF ENVIRONMENTAL SCIENCE,CITRUS,k12
ACADEMY OF EXCELLENCE,MIAMI-DADE,k12
ACADEMY OF LITTLE LEARNERS,PALM BEACH,k12
ACADEMY OF THE HOLY NAMES,HILLSBOROUGH,k12
ACADEMY PREP CENTER OF LAKELAND,POLK,k12
ACADEMY PREP CENTER OF ST. PETERSBURG,PINELLAS,k12
ACADEMY PREP CENTER OF TAMPA INC.,HILLSBOROUGH,k12
