date,county,city,population,atleast_onedose,fully_vaccinated,partially_vaccinated,votes_baker,votes_not_baker
2021-03-09,Barnstable,Barnstable,44773.0,12204.0,6049.0,6155.0,16424.0,5858.0
2021-03-09,Barnstable,Bourne,21026.0,,,,7091.0,2281.0
2021-03-09,Barnstable,Brewster,9926.0,,,,4167.0,1836.0
2021-03-09,Barnstable,Chatham,5830.0,,,,3045.0,1069.0
2021-03-09,Barnstable,Dennis,13088.0,,,,6280.0,2095.0
2021-03-09,Barnstable,Eastham,4603.0,,,,2234.0,1073.0
2021-03-09,Barnstable,Falmouth,31190.0,10119.0,,,12205.0,5441.0
2021-03-09,Barnstable,Harwich,12589.0,,,,5592.0,1974.0
2021-03-09,Barnstable,Mashpee,15535.0,,,,5869.0,1929.0
2021-03-09,Barnstable,Orleans,5620.0,,,,2851.0,1254.0
2021-03-09,Barnstable,Provincetown,2583.0,,,,833.0,1307.0
2021-03-09,Barnstable,Sandwich,21078.0,,,,8182.0,2849.0
2021-03-09,Barnstable,Truro,1968.0,,,,775.0,678.0
2021-03-09,Barnstable,Wellfleet,2760.0,,,,1040.0,986.0
2021-03-09,Barnstable,Yarmouth,24062.0,,,,9138.0,3138.0
2021-03-09,Berkshire,Adams,8227.0,,,,1832.0,1359.0
2021-03-09,Berkshire,Becket (includes Washington),2241.0,,,,,
2021-03-09,Berkshire,Cheshire,2936.0,,,,909.0,603.0
2021-03-09,Berkshire,Dalton,6466.0,,,,1758.0,1178.0
2021-03-09,Berkshire,Egremont (includes Mount Washington),1205.0,,,,,
2021-03-09,Berkshire,Florida,784.0,,,,193.0,132.0
2021-03-09,Berkshire,Great Barrington (includes Alford),7182.0,3049.0,,,,
2021-03-09,Berkshire,Hinsdale (includes Peru),2961.0,,,,,
2021-03-09,Berkshire,Lanesborough (includes Hancock and New Ashford),3841.0,,,,,
2021-03-09,Berkshire,Lee,5830.0,,,,1498.0,1085.0
2021-03-09,Berkshire,Lenox,4833.0,,,,1447.0,1290.0
2021-03-09,Berkshire,Monterey,926.0,,,,183.0,286.0
2021-03-09,Berkshire,New Marlborough,1523.0,,,,343.0,436.0
2021-03-09,Berkshire,North Adams (includes Clarksburg),14550.0,,,,,
2021-03-09,Berkshire,Otis,1880.0,,,,450.0,287.0
2021-03-09,Berkshire,Pittsfield,43956.0,11720.0,7932.0,,8755.0,8069.0
2021-03-09,Berkshire,Richmond,1305.0,,,,462.0,407.0
2021-03-09,Berkshire,Sandisfield,932.0,,,,189.0,185.0
2021-03-09,Berkshire,Savoy,620.0,,,,160.0,143.0
2021-03-09,Berkshire,Sheffield,3054.0,,,,795.0,823.0
2021-03-09,Berkshire,Stockbridge,1706.0,,,,551.0,579.0
2021-03-09,Berkshire,Tyringham,242.0,,,,135.0,126.0
2021-03-09,Berkshire,West Stockbridge,1175.0,,,,,
2021-03-09,Berkshire,Williamstown,7178.0,,,,1254.0,1950.0
2021-03-09,Berkshire,Windsor,845.0,,,,246.0,211.0
2021-03-09,Bristol,Acushnet,10449.0,,,,3142.0,1155.0
