last_updated,name,county,new_cases,week
2020-09-16,Daniels Elementary,Raleigh,2.0,36
2020-09-20,Sherrard Middle School,Marshall,2.0,36
2020-09-21,Maysville Elementary,Grant,2.0,37
2020-09-23,Dunbar Primary,Kanawha,3.0,37
2020-09-23,Mary Ingles Elm,Kanawha,4.0,37
2020-09-23,West Teays Elementary School,Putnam,2.0,37
2020-09-24,GW Elementary School,Putnam,3.0,37
2020-09-25,North Elementary School,Monongalia,2.0,37
2020-09-25,South Charleston Middle School,Kanawha,3.0,37
2020-09-25,Tucker County School Systems,Tucker,7.0,37
2020-09-26,West Teays Elementary School,Putnam,4.0,37
2020-09-26,Woodrow Wilson High School,Raleigh,2.0,37
2020-09-27,Back Creek Valley Elementary,Berkeley,3.0,37
2020-09-27,Sherrard Middle School,Marshall,2.0,37
2020-09-28,Doddridge County Middle,Doddridge,2.0,38
2020-09-28,Dunbar Primary,Kanawha,3.0,38
2020-09-28,East Fairmont Middle School,Marion,2.0,38
2020-09-28,Gerrardstown Elementary School,Berkeley,2.0,38
2020-09-28,Lincoln County High,Lincoln,2.0,38
2020-09-28,Lincoln Middle School,Harrison,3.0,38
2020-09-28,Logan Senior High School,Logan,2.0,38
2020-09-28,Moorefield High School,Hardy,4.0,38
2020-09-28,South Charleston Middle School,Kanawha,3.0,38
2020-09-28,Trap Hill Middle School,Raleigh,3.0,38
2020-09-29,Daniels Elementary,Raleigh,2.0,38
2020-09-29,North Elementary School,Monongalia,2.0,38
2020-09-29,West Teays Elementary School,Putnam,4.0,38
2020-09-30,Belington Elementary School,Barbour,3.0,38
2020-09-30,Doddridge County Middle,Doddridge,2.0,38
2020-09-30,Dunbar Primary,Kanawha,3.0,38
2020-09-30,Kermit K-8,Mingo,2.0,38
2020-09-30,Lincoln County High,Lincoln,2.0,38
2020-09-30,Logan Senior High School,Logan,2.0,38
2020-10-01,Doddridge County Middle,Doddridge,2.0,38
2020-10-01,Kermit K-8,Mingo,2.0,38
2020-10-01,Lincoln Middle School,Harrison,3.0,38
2020-10-01,North Elementary School,Monongalia,2.0,38
2020-10-01,South Charleston Middle School,Kanawha,3.0,38
2020-10-01,West Teays Elementary School,Putnam,4.0,38
2020-10-02,East Fairmont Middle School,Marion,3.0,38
2020-10-02,Logan Senior High School,Logan,2.0,38
2020-10-04,Flemington Elem,Taylor,3.0,38
2020-10-04,South Charleston Middle School,Kanawha,3.0,38
2020-10-05,Kermit K-8,Mingo,2.0,39
2020-10-05,Lincoln County High,Lincoln,2.0,39
2020-10-05,Logan Senior High School,Logan,2.0,39
2020-10-05,South Branch Vocational,Grant,3.0,39
2020-10-05,South Charleston Middle School,Kanawha,3.0,39
2020-10-07,Flemington Elem,Taylor,3.0,39
2020-10-08,EPIC Headstart Pre-K,Morgan,2.0,39
2020-10-08,East Fairmont Middle School,Marion,3.0,39
2020-10-08,Lincoln County High,Lincoln,2.0,39
2020-10-08,Logan Senior High School,Logan,3.0,39
2020-10-08,New Martinsville Elementary School,Wetzel,3.0,39
2020-10-08,Ruffner Elementary,Kanawha,2.0,39
2020-10-09,Buchannon Upshur Middle School,Upshur,2.0,39
2020-10-09,Hurricane High School,Putnam,2.0,39
2020-10-09,Kermit K-8,Mingo,2.0,39
2020-10-09,Lincoln Middle School,Harrison,4.0,39
2020-10-09,Pikeview Middle School,Mercer,4.0,39
2020-10-09,Ripley High School,Jackson,5.0,39
2020-10-10,Sistersville Elementary Pre-K,Tyler,2.0,39
2020-10-12,Hurricane High School,Putnam,2.0,40
2020-10-13,Buchannon Upshur Middle School,Upshur,2.0,40
2020-10-13,Flemington Elem,Taylor,3.0,40
2020-10-13,Logan Senior High School,Logan,3.0,40
